date,suspect,num_bad_aircraft_hexes,source
2023-03-03,false,154,adsbexchange
2023-03-04,false,175,adsbexchange
2023-03-05,false,166,adsbexchange
2023-03-06,false,145,adsbexchange
2023-03-07,false,128,adsbexchange
2023-03-08,false,133,adsbexchange
2023-03-09,false,160,adsbexchange
2023-03-10,false,170,adsbexchange
2023-03-11,false,164,adsbexchange
2023-03-12,false,168,adsbexchange
2023-03-13,false,195,adsbexchange
2023-03-14,false,162,adsbexchange
2023-03-15,false,192,adsbexchange
2023-03-16,false,206,adsbexchange
2023-03-17,false,191,adsbexchange
2023-03-18,false,178,adsbexchange
2023-03-19,false,179,adsbexchange
2023-03-20,false,216,adsbexchange
2023-03-21,false,194,adsbexchange
2023-03-22,false,201,adsbexchange
2023-03-23,false,200,adsbexchange
2023-03-24,false,249,adsbexchange
2023-03-25,false,230,adsbexchange
2023-03-26,false,226,adsbexchange
2023-03-27,false,251,adsbexchange
2023-03-28,false,252,adsbexchange
2023-03-29,false,219,adsbexchange
2023-03-30,false,253,adsbexchange
2023-03-31,false,235,adsbexchange
2023-04-01,false,252,adsbexchange
2023-04-02,false,276,adsbexchange
2023-04-03,false,272,adsbexchange
2023-04-04,false,266,adsbexchange
2023-04-05,false,288,adsbexchange
2023-04-06,false,239,adsbexchange
2023-04-07,false,279,adsbexchange
2023-04-08,false,264,adsbexchange
2023-04-09,false,299,adsbexchange
2023-04-10,false,216,adsbexchange
2023-04-11,false,258,adsbexchange
2023-04-12,false,254,adsbexchange
2023-04-13,false,268,adsbexchange
2023-04-14,false,304,adsbexchange
2023-04-15,false,274,adsbexchange
2023-04-16,false,257,adsbexchange
2023-04-17,false,235,adsbexchange
2023-04-18,false,263,adsbexchange
2023-04-19,false,220,adsbexchange
2023-04-20,false,250,adsbexchange
2023-04-21,false,234,adsbexchange
2023-04-22,false,277,adsbexchange
2023-04-23,false,271,adsbexchange
2023-04-24,false,243,adsbexchange
2023-04-25,false,228,adsbexchange
2023-04-26,false,224,adsbexchange
2023-04-27,false,224,adsbexchange
2023-04-28,false,237,adsbexchange
2023-04-29,false,229,adsbexchange
2023-04-30,false,234,adsbexchange
2023-05-01,false,263,adsbexchange
2023-05-02,false,261,adsbexchange
2023-05-03,false,289,adsbexchange
2023-05-04,false,261,adsbexchange
2023-05-05,false,259,adsbexchange
2023-05-06,false,294,adsbexchange
2023-05-07,false,282,adsbexchange
2023-05-08,false,279,adsbexchange
2023-05-09,false,262,adsbexchange
2023-05-10,false,277,adsbexchange
2023-05-11,false,249,adsbexchange
2023-05-12,false,279,adsbexchange
2023-05-13,false,282,adsbexchange
2023-05-14,false,269,adsbexchange
2023-05-15,false,256,adsbexchange
2023-05-16,false,295,adsbexchange
2023-05-17,false,270,adsbexchange
2023-05-18,false,257,adsbexchange
2023-05-19,false,235,adsbexchange
2023-05-20,false,265,adsbexchange
2023-05-21,false,236,adsbexchange
2023-05-22,false,213,adsbexchange
2023-05-23,false,225,adsbexchange
2023-05-24,false,251,adsbexchange
2023-05-25,false,271,adsbexchange
2023-05-26,false,246,adsbexchange
2023-05-27,false,305,adsbexchange
2023-05-28,false,343,adsbexchange
