FID,ogc_fid,site_id,site_name,alamat,desa,kec,lat,long,jen_men,tinggi,jen_kons,metadata,srs_id,remark,namobj,fcode,objectid,geometry
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.34,34,MPW071,TERENTANG,"Desa Terentang Hilir RT 01 RW 01 Dusun Beringin Kec. Terentang, Kab. Kubu Raya. Kalimantan Barat",Terentang Hilir,Terentang,-0.384167,109.626944,Green Field,72,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. TELKOMSEL,HC01050180,,POINT (109.62694444444443 -0.3841666666666667)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.35,35,MPW077,Sule Bagas,Jl. Trans Kalimantan Dusun Sule Bagas RT 003 RW 001 Desa Korek Kecamatan Sungai Ambawang,Korek,Sungai Ambawang,0.044111,109.557889,Green Field,42,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. TELKOMSEL,HC01050180,,POINT (109.55788888888888 0.0441111111111111)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.36,36,MPW047,SUNGAI RENGAS,"Jl. Berembang kec sungai Kakap kel. Sei Rengas,Kab. Kubu Raya",Sungai Rengas,Sungai Kakap,-0.006556,109.238167,Green Field,72,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. TELKOMSEL,HC01050180,,POINT (109.238166666667 -0.0065555555555556)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.37,37,MPW029,TELUK_NIBUNG,Desa Teluk Nibung Kecamatan Batu Ampar Kabupaten Kubu Raya Kalbar,Teluk Nibung,Batu Ampar,-0.792639,109.468667,Green Field,82,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. TELKOMSEL,HC01050180,,POINT (109.46866666666666 -0.7926388888888889)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.38,38,MPW149,DESA SETIA BARU,Ds. Teluk Nibung rt12/rw10,Teluk Nibung,Batu Ampar,-0.81525,109.49311,Green Field,0,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. TELKOMSEL,HC01050180,,POINT (109.49311 -0.81525)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.39,39,16MPW001,airport_pontianak,"Komp. Bandara Supadio, Ruang TX",Arang Limbung,Sungai Raya,-0.141472,109.410139,Green Field,40,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. INDOSAT,HC01050180,,POINT (109.410138888889 -0.141472222222222)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.40,40,16PTK006,sungai_raya (PIL),"Komp. Pondok Indah Lestari, Blok G-2, No.9-10 Desa Sungai Raya",Sungai Raya,Sungai Raya,-0.086472,109.376222,Green Field,43,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. INDOSAT,HC01050180,,POINT (109.376222222222 -0.0864722222222222)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.41,41,16MPW006,Pasar Rasau Jaya,Jl Sudirman RT.30 RW.08 Desa Rasau Jaya I,Rasau Jaya 1,Rasau Jaya,-0.248306,109.371583,green field,70,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. INDOSAT,HC01050180,,POINT (109.371583333333 -0.248305555555556)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.42,42,16MPW010,sei_kumpai,"Jl. Selat Madura, RT.002/02 Sungai.Kumpai Sei Adong",Kuala Dua,Sungai Raya,-0.174083,109.435889,Green Field,45,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. INDOSAT,HC01050180,,POINT (109.435888888889 -0.174083333333333)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.43,43,16MPW009,sungai_kakap,"JL. Raya Sungai Kakap, KM. 18 RT.25 RW. 25 Desa Sungai kakap",Sungai Kakap,Sungai Kakap,-0.056444,109.194278,Green Field,70,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. INDOSAT,HC01050180,,POINT (109.194277777778 -0.0564444444444444)
